state,leg_con,pop,num_poor,SNAP_num,perc_poor,perc_partic
Alabama,0,"4,853,875",784000,889380.0833,16.26556017,18.32309409
Alaska,0,"737,709",65000,81121.25,9.246088193,10.99637526
Arizona,0,"6,817,565",1156000,999401,17.18192628,14.6592075
Arkansas,0,"2,977,853",475000,468904,16.09623856,15.74637835
California,1,"38,993,940",5441000,4417772,13.92236637,11.32938092
Colorado,2,"5,448,819",538000,495133.75,9.926199262,9.086992062
Connecticut,1,"3,584,730",324000,442161.25,9.070548712,12.3345761
Deleware,1,"944,076",106000,149980.5,11.06471816,15.88648583
Florida,0,"20,244,914",3253000,3656169.417,16.2074635,18.05969349
Georgia,0,"10,199,398",1833000,1800530.917,18.14851485,17.65330578
Hawaii,1,"1,425,157",151000,188895.0833,10.92619392,13.25433502
Idaho,0,"1,652,828",204000,196871.5,12.31140616,11.911191
Illinois,1,"12,839,047",1380000,2042305.5,10.88070646,15.90698671
Indiana,0,"6,612,768",880000,831740.4167,13.53429714,12.57779521
Iowa,2,"3,121,997",321000,391223.75,10.35483871,12.53120198
Kansas,0,"2,906,721",404000,273974.1667,14.18041418,9.425540556
Kentucky,2,"4,424,611",851000,768881.8333,19.49599084,17.37738828
Louisiana,0,"4,668,960",854000,859737.5833,18.56925419,18.4138991
Maine,2,"1,329,453",165000,202578.8333,12.31343284,15.23775818
Maryland,1,"5,994,983",566000,781034.5833,9.606245757,13.02813675
Massachusets,1,"6,784,240",782000,785778.0833,11.53902907,11.58240397
Michigan,0,"9,917,715",1259000,1571344.333,12.77913114,15.84381416
Minnesota,2,"5,482,435",428000,496023.1667,7.841700257,9.047497448
Mississippi,0,"2,989,390",563000,636322.25,19.10417374,21.28602324
Missouri,0,"6,076,204",582000,844597.0833,9.788092836,13.9000778
Montana,0,"1,032,073",121000,119081.5,11.88605108,11.53808888
Nebreska,2,"1,893,765",192000,174092.4167,10.33369214,9.192926086
Nevada,0,"2,883,758",371000,420413.1667,12.95391061,14.57865628
New Hampshire,0,"1,330,111",94000,106296.3333,7.269914927,7.991538548
New Jersey,1,"8,935,421",1004000,905727.6667,11.2354521,10.13637373
New Mexico,2,"2,080,328",400000,453146.4167,19.64636542,21.78245049
New York,2,"19,747,183",2791000,3039108.167,14.2071774,15.39008458
North Carolina,0,"10,035,186",1509000,1646202.25,15.26246586,16.40430232
North Dakota,0,"756,835",82000,53147.5833,10.74705111,7.022347447
Ohio,0,"11,605,090",1550000,1676263,13.55487538,14.44420509
Oklahoma,0,"3,907,414",551000,598257.1667,14.17545665,15.31082109
Oregon,1,"4,024,634",478000,779748.9167,11.8639861,19.37440564
Pennsylvania,0,"12,791,904",1542000,1826666.833,12.27316141,14.27986665
Rhode Island,1,"1,055,607",123000,175024.6667,11.7816092,16.58047613
South Carolina,0,"4,894,834",683000,804571.75,14.25887265,16.4371611
South Dakota,0,"857,919",118000,98552.8333,13.91509434,11.48742868
Tennessee,0,"6,595,056",973000,1229390.667,14.73126419,18.64109519
Texas,0,"27,429,639",4036000,3724688.167,14.73207768,13.57906375
Utah,0,"2,990,632",279000,225602.75,9.287616511,7.543647965
Vermont,1,"626,088",65000,84993.6667,10.67323481,13.57535469
Virginia,0,"8,367,587",894000,860374.75,10.8812074,10.2822325
Washington,2,"7,160,290",819000,1070932.667,11.38606979,14.95655437
West Virginia,0,"1,841,053",261000,367908.25,14.54038997,19.98357733
Wisconsin,0,"5,767,891",654000,805540.4167,11.40167364,13.96594382
Wyoming,0,"586,555",56000,32605.5,9.756097561,5.558813751
,,,,,,
